id,ticket_id,category,priority,question,response
37,TKT100036,Debit Card,High,I need help because while using mobile banking I have a PIN forgotten issue.,Reset your ATM PIN using supported banking channels.
38,TKT100037,Debit Card,High,Please assist. yesterday I have a lost card issue.,Block your debit card immediately and request a replacement.
39,TKT100038,UPI,High,Please assist. at an ATM I have a pending transaction issue.,Wait until the current transaction is completed. Do not retry the payment immediately.
40,TKT100039,UPI,High,Please assist. while using mobile banking I have a payment failed issue.,Check the transaction status in your UPI app. Failed transactions are normally reversed automatically. Raise a dispute if the amount is not refunded within the expected timeline.
41,TKT100040,Debit Card,High,Can you help me? I have a lost card issue.,Block your debit card immediately and request a replacement.
42,TKT100041,UPI,High,today I have a payment failed issue.,Check the transaction status in your UPI app. Failed transactions are normally reversed automatically. Raise a dispute if the amount is not refunded within the expected timeline.
43,TKT100042,Debit Card,High,I have a lost card issue.,Block your debit card immediately and request a replacement.
44,TKT100043,Debit Card,High,Urgent: I have a unauthorized transaction issue.,Block the card and report the disputed transaction for investigation.
45,TKT100044,KYC,Medium,Urgent: yesterday I have a update issue.,Submit valid KYC documents online or at your branch.
46,TKT100045,Loans,Medium,Please assist. at an ATM I have a loan statement issue.,Download it through internet banking or request it from your branch.
47,TKT100046,KYC,Medium,Can you help me? yesterday I have a update issue.,Submit valid KYC documents online or at your branch.
48,TKT100047,UPI,High,I need help because I have a wrong UPI ID issue.,Contact your bank immediately. Recovery depends on the transaction status and beneficiary approval.
49,TKT100048,Debit Card,High,Can you help me? today I have a PIN forgotten issue.,Reset your ATM PIN using supported banking channels.
50,TKT100049,UPI,High,I need help because yesterday I have a pending transaction issue.,Wait until the current transaction is completed. Do not retry the payment immediately.
51,TKT100050,UPI,High,Please assist. today I have a payment failed issue.,Check the transaction status in your UPI app. Failed transactions are normally reversed automatically. Raise a dispute if the amount is not refunded within the expected timeline.
52,TKT100051,Debit Card,High,yesterday I have a unauthorized transaction issue.,Block the card and report the disputed transaction for investigation.
53,TKT100052,Debit Card,High,Urgent: I have a PIN forgotten issue.,Reset your ATM PIN using supported banking channels.
54,TKT100053,KYC,Medium,at an ATM I have a update issue.,Submit valid KYC documents online or at your branch.
55,TKT100054,Debit Card,High,I need help because at an ATM I have a lost card issue.,Block your debit card immediately and request a replacement.
56,TKT100055,Loans,Medium,at an ATM I have a loan statement issue.,Download it through internet banking or request it from your branch.
57,TKT100056,UPI,High,I need help because today I have a pending transaction issue.,Wait until the current transaction is completed. Do not retry the payment immediately.
58,TKT100057,KYC,Medium,Please assist. today I have a PAN update issue.,Submit your PAN update request with supporting documents.
59,TKT100058,Debit Card,High,Can you help me? I have a lost card issue.,Block your debit card immediately and request a replacement.
60,TKT100059,KYC,Medium,yesterday I have a update issue.,Submit valid KYC documents online or at your branch.
61,TKT100060,Loans,Medium,Can you help me? today I have a loan statement issue.,Download it through internet banking or request it from your branch.
62,TKT100061,KYC,Medium,I need help because today I have a PAN update issue.,Submit your PAN update request with supporting documents.
63,TKT100062,UPI,High,Can you help me? yesterday I have a payment failed issue.,Check the transaction status in your UPI app. Failed transactions are normally reversed automatically. Raise a dispute if the amount is not refunded within the expected timeline.
64,TKT100063,KYC,Medium,yesterday I have a expired issue.,Update your KYC to avoid interruption of banking services.
65,TKT100064,KYC,Medium,Can you help me? at an ATM I have a update issue.,Submit valid KYC documents online or at your branch.
66,TKT100065,UPI,High,Please assist. at an ATM I have a wrong UPI ID issue.,Contact your bank immediately. Recovery depends on the transaction status and beneficiary approval.
67,TKT100066,Loans,Medium,Urgent: at an ATM I have a loan statement issue.,Download it through internet banking or request it from your branch.
68,TKT100067,Debit Card,High,Please assist. yesterday I have a lost card issue.,Block your debit card immediately and request a replacement.
69,TKT100068,UPI,High,Urgent: today I have a pending transaction issue.,Wait until the current transaction is completed. Do not retry the payment immediately.
70,TKT100069,Loans,Medium,I need help because I have a personal loan issue.,Apply online or at a branch. Eligibility depends on bank policy.
71,TKT100070,KYC,Medium,Urgent: yesterday I have a PAN update issue.,Submit your PAN update request with supporting documents.
72,TKT100071,UPI,High,I need help because yesterday I have a pending transaction issue.,Wait until the current transaction is completed. Do not retry the payment immediately.
73,TKT100072,UPI,High,I need help because yesterday I have a pending transaction issue.,Wait until the current transaction is completed. Do not retry the payment immediately.
74,TKT100073,KYC,Medium,Urgent: yesterday I have a update issue.,Submit valid KYC documents online or at your branch.
75,TKT100074,UPI,High,I need help because at an ATM I have a pending transaction issue.,Wait until the current transaction is completed. Do not retry the payment immediately.
76,TKT100075,Loans,Medium,Can you help me? while using mobile banking I have a loan statement issue.,Download it through internet banking or request it from your branch.
77,TKT100076,Debit Card,High,yesterday I have a unauthorized transaction issue.,Block the card and report the disputed transaction for investigation.
78,TKT100077,Loans,Medium,Please assist. today I have a loan statement issue.,Download it through internet banking or request it from your branch.
79,TKT100078,UPI,High,Urgent: I have a wrong UPI ID issue.,Contact your bank immediately. Recovery depends on the transaction status and beneficiary approval.
80,TKT100079,UPI,High,Urgent: yesterday I have a payment failed issue.,Check the transaction status in your UPI app. Failed transactions are normally reversed automatically. Raise a dispute if the amount is not refunded within the expected timeline.
81,TKT100080,Loans,Medium,Please assist. today I have a personal loan issue.,Apply online or at a branch. Eligibility depends on bank policy.
82,TKT100081,Debit Card,High,Please assist. yesterday I have a unauthorized transaction issue.,Block the card and report the disputed transaction for investigation.
83,TKT100082,KYC,Medium,Please assist. I have a PAN update issue.,Submit your PAN update request with supporting documents.
84,TKT100083,UPI,High,Urgent: while using mobile banking I have a pending transaction issue.,Wait until the current transaction is completed. Do not retry the payment immediately.
85,TKT100084,UPI,High,Please assist. today I have a payment failed issue.,Check the transaction status in your UPI app. Failed transactions are normally reversed automatically. Raise a dispute if the amount is not refunded within the expected timeline.
86,TKT100085,UPI,High,Urgent: yesterday I have a pending transaction issue.,Wait until the current transaction is completed. Do not retry the payment immediately.
87,TKT100086,Loans,Medium,Urgent: yesterday I have a loan statement issue.,Download it through internet banking or request it from your branch.
88,TKT100087,Loans,Medium,Please assist. I have a personal loan issue.,Apply online or at a branch. Eligibility depends on bank policy.
89,TKT100088,KYC,Medium,I need help because today I have a expired issue.,Update your KYC to avoid interruption of banking services.
90,TKT100089,KYC,Medium,I need help because today I have a expired issue.,Update your KYC to avoid interruption of banking services.
91,TKT100090,Loans,Medium,Please assist. yesterday I have a personal loan issue.,Apply online or at a branch. Eligibility depends on bank policy.
92,TKT100091,KYC,Medium,I have a PAN update issue.,Submit your PAN update request with supporting documents.
93,TKT100092,UPI,High,I need help because yesterday I have a payment failed issue.,Check the transaction status in your UPI app. Failed transactions are normally reversed automatically. Raise a dispute if the amount is not refunded within the expected timeline.
94,TKT100093,UPI,High,Urgent: I have a wrong UPI ID issue.,Contact your bank immediately. Recovery depends on the transaction status and beneficiary approval.
95,TKT100094,Debit Card,High,Can you help me? today I have a unauthorized transaction issue.,Block the card and report the disputed transaction for investigation.
96,TKT100095,Loans,Medium,I need help because while using mobile banking I have a loan statement issue.,Download it through internet banking or request it from your branch.
97,TKT100096,Debit Card,High,Can you help me? today I have a PIN forgotten issue.,Reset your ATM PIN using supported banking channels.
98,TKT100097,Loans,Medium,I have a EMI issue.,"EMI depends on the loan amount, tenure, and interest rate."
99,TKT100098,Debit Card,High,Can you help me? yesterday I have a lost card issue.,Block your debit card immediately and request a replacement.
100,TKT100099,KYC,Medium,Can you help me? while using mobile banking I have a update issue.,Submit valid KYC documents online or at your branch.
101,TKT100100,KYC,Medium,Can you help me? while using mobile banking I have a PAN update issue.,Submit your PAN update request with supporting documents.
102,TKT100101,Debit Card,High,I need help because at an ATM I have a PIN forgotten issue.,Reset your ATM PIN using supported banking channels.
103,TKT100102,UPI,High,Can you help me? yesterday I have a wrong UPI ID issue.,Contact your bank immediately. Recovery depends on the transaction status and beneficiary approval.
104,TKT100103,KYC,Medium,Please assist. yesterday I have a expired issue.,Update your KYC to avoid interruption of banking services.
105,TKT100104,Debit Card,High,Can you help me? at an ATM I have a lost card issue.,Block your debit card immediately and request a replacement.
106,TKT100105,Loans,Medium,I need help because while using mobile banking I have a loan statement issue.,Download it through internet banking or request it from your branch.
107,TKT100106,Loans,Medium,Urgent: at an ATM I have a EMI issue.,"EMI depends on the loan amount, tenure, and interest rate."
108,TKT100107,Loans,Medium,I need help because while using mobile banking I have a personal loan issue.,Apply online or at a branch. Eligibility depends on bank policy.
109,TKT100108,Debit Card,High,Please assist. today I have a PIN forgotten issue.,Reset your ATM PIN using supported banking channels.
110,TKT100109,UPI,High,while using mobile banking I have a pending transaction issue.,Wait until the current transaction is completed. Do not retry the payment immediately.
111,TKT100110,Loans,Medium,Urgent: I have a loan statement issue.,Download it through internet banking or request it from your branch.
112,TKT100111,UPI,High,Urgent: yesterday I have a wrong UPI ID issue.,Contact your bank immediately. Recovery depends on the transaction status and beneficiary approval.
113,TKT100112,Loans,Medium,today I have a personal loan issue.,Apply online or at a branch. Eligibility depends on bank policy.
114,TKT100113,Debit Card,High,today I have a unauthorized transaction issue.,Block the card and report the disputed transaction for investigation.
115,TKT100114,Loans,Medium,Please assist. today I have a EMI issue.,"EMI depends on the loan amount, tenure, and interest rate."
116,TKT100115,Loans,Medium,Please assist. at an ATM I have a EMI issue.,"EMI depends on the loan amount, tenure, and interest rate."
117,TKT100116,Loans,Medium,Please assist. I have a loan statement issue.,Download it through internet banking or request it from your branch.
118,TKT100117,Debit Card,High,at an ATM I have a lost card issue.,Block your debit card immediately and request a replacement.
119,TKT100118,Debit Card,High,Urgent: while using mobile banking I have a PIN forgotten issue.,Reset your ATM PIN using supported banking channels.
120,TKT100119,KYC,Medium,I need help because while using mobile banking I have a PAN update issue.,Submit your PAN update request with supporting documents.
121,TKT100120,Loans,Medium,I have a personal loan issue.,Apply online or at a branch. Eligibility depends on bank policy.
122,TKT100121,Loans,Medium,at an ATM I have a loan statement issue.,Download it through internet banking or request it from your branch.
123,TKT100122,Debit Card,High,yesterday I have a PIN forgotten issue.,Reset your ATM PIN using supported banking channels.
124,TKT100123,UPI,High,Urgent: I have a wrong UPI ID issue.,Contact your bank immediately. Recovery depends on the transaction status and beneficiary approval.
125,TKT100124,Loans,Medium,Can you help me? while using mobile banking I have a personal loan issue.,Apply online or at a branch. Eligibility depends on bank policy.
126,TKT100125,Debit Card,High,Can you help me? today I have a lost card issue.,Block your debit card immediately and request a replacement.
127,TKT100126,UPI,High,I have a payment failed issue.,Check the transaction status in your UPI app. Failed transactions are normally reversed automatically. Raise a dispute if the amount is not refunded within the expected timeline.
128,TKT100127,UPI,High,I have a wrong UPI ID issue.,Contact your bank immediately. Recovery depends on the transaction status and beneficiary approval.
129,TKT100128,Debit Card,High,at an ATM I have a PIN forgotten issue.,Reset your ATM PIN using supported banking channels.
130,TKT100129,KYC,Medium,Can you help me? today I have a update issue.,Submit valid KYC documents online or at your branch.
131,TKT100130,UPI,High,Can you help me? yesterday I have a wrong UPI ID issue.,Contact your bank immediately. Recovery depends on the transaction status and beneficiary approval.
132,TKT100131,KYC,Medium,Urgent: yesterday I have a update issue.,Submit valid KYC documents online or at your branch.
133,TKT100132,UPI,High,Can you help me? at an ATM I have a wrong UPI ID issue.,Contact your bank immediately. Recovery depends on the transaction status and beneficiary approval.
134,TKT100133,Loans,Medium,Urgent: I have a loan statement issue.,Download it through internet banking or request it from your branch.
135,TKT100134,KYC,Medium,yesterday I have a PAN update issue.,Submit your PAN update request with supporting documents.
136,TKT100135,KYC,Medium,Please assist. yesterday I have a expired issue.,Update your KYC to avoid interruption of banking services.
137,TKT100136,Loans,Medium,yesterday I have a EMI issue.,"EMI depends on the loan amount, tenure, and interest rate."
138,TKT100137,Loans,Medium,I need help because while using mobile banking I have a loan statement issue.,Download it through internet banking or request it from your branch.
139,TKT100138,Debit Card,High,Please assist. while using mobile banking I have a unauthorized transaction issue.,Block the card and report the disputed transaction for investigation.
140,TKT100139,UPI,High,Can you help me? yesterday I have a payment failed issue.,Check the transaction status in your UPI app. Failed transactions are normally reversed automatically. Raise a dispute if the amount is not refunded within the expected timeline.
141,TKT100140,KYC,Medium,Can you help me? yesterday I have a PAN update issue.,Submit your PAN update request with supporting documents.
142,TKT100141,UPI,High,while using mobile banking I have a wrong UPI ID issue.,Contact your bank immediately. Recovery depends on the transaction status and beneficiary approval.
143,TKT100142,KYC,Medium,I need help because yesterday I have a expired issue.,Update your KYC to avoid interruption of banking services.
144,TKT100143,KYC,Medium,Urgent: today I have a expired issue.,Update your KYC to avoid interruption of banking services.
145,TKT100144,KYC,Medium,I need help because while using mobile banking I have a expired issue.,Update your KYC to avoid interruption of banking services.
146,TKT100145,Loans,Medium,I have a loan statement issue.,Download it through internet banking or request it from your branch.
147,TKT100146,Debit Card,High,Can you help me? while using mobile banking I have a unauthorized transaction issue.,Block the card and report the disputed transaction for investigation.
148,TKT100147,KYC,Medium,I need help because at an ATM I have a expired issue.,Update your KYC to avoid interruption of banking services.
149,TKT100148,Loans,Medium,yesterday I have a EMI issue.,"EMI depends on the loan amount, tenure, and interest rate."
150,TKT100149,KYC,Medium,Urgent: I have a update issue.,Submit valid KYC documents online or at your branch.
151,TKT100150,UPI,High,Urgent: I have a wrong UPI ID issue.,Contact your bank immediately. Recovery depends on the transaction status and beneficiary approval.
152,TKT100151,UPI,High,yesterday I have a payment failed issue.,Check the transaction status in your UPI app. Failed transactions are normally reversed automatically. Raise a dispute if the amount is not refunded within the expected timeline.
153,TKT100152,KYC,Medium,I need help because while using mobile banking I have a update issue.,Submit valid KYC documents online or at your branch.
154,TKT100153,KYC,Medium,Can you help me? at an ATM I have a expired issue.,Update your KYC to avoid interruption of banking services.
155,TKT100154,Loans,Medium,while using mobile banking I have a loan statement issue.,Download it through internet banking or request it from your branch.
156,TKT100155,KYC,Medium,I need help because at an ATM I have a expired issue.,Update your KYC to avoid interruption of banking services.
157,TKT100156,UPI,High,Urgent: today I have a pending transaction issue.,Wait until the current transaction is completed. Do not retry the payment immediately.
158,TKT100157,Loans,Medium,I need help because today I have a personal loan issue.,Apply online or at a branch. Eligibility depends on bank policy.
159,TKT100158,UPI,High,Can you help me? today I have a payment failed issue.,Check the transaction status in your UPI app. Failed transactions are normally reversed automatically. Raise a dispute if the amount is not refunded within the expected timeline.
160,TKT100159,Debit Card,High,Can you help me? at an ATM I have a lost card issue.,Block your debit card immediately and request a replacement.
161,TKT100160,UPI,High,Can you help me? at an ATM I have a pending transaction issue.,Wait until the current transaction is completed. Do not retry the payment immediately.
162,TKT100161,Loans,Medium,Can you help me? I have a loan statement issue.,Download it through internet banking or request it from your branch.
163,TKT100162,UPI,High,Please assist. today I have a payment failed issue.,Check the transaction status in your UPI app. Failed transactions are normally reversed automatically. Raise a dispute if the amount is not refunded within the expected timeline.
164,TKT100163,UPI,High,Urgent: at an ATM I have a wrong UPI ID issue.,Contact your bank immediately. Recovery depends on the transaction status and beneficiary approval.
165,TKT100164,KYC,Medium,Can you help me? today I have a PAN update issue.,Submit your PAN update request with supporting documents.
166,TKT100165,Debit Card,High,Please assist. I have a lost card issue.,Block your debit card immediately and request a replacement.
167,TKT100166,UPI,High,I need help because while using mobile banking I have a pending transaction issue.,Wait until the current transaction is completed. Do not retry the payment immediately.
168,TKT100167,KYC,Medium,Please assist. today I have a PAN update issue.,Submit your PAN update request with supporting documents.
169,TKT100168,Loans,Medium,at an ATM I have a personal loan issue.,Apply online or at a branch. Eligibility depends on bank policy.
170,TKT100169,UPI,High,Please assist. at an ATM I have a wrong UPI ID issue.,Contact your bank immediately. Recovery depends on the transaction status and beneficiary approval.
171,TKT100170,Debit Card,High,Can you help me? I have a unauthorized transaction issue.,Block the card and report the disputed transaction for investigation.
172,TKT100171,Loans,Medium,Urgent: at an ATM I have a EMI issue.,"EMI depends on the loan amount, tenure, and interest rate."
173,TKT100172,KYC,Medium,Urgent: while using mobile banking I have a expired issue.,Update your KYC to avoid interruption of banking services.
174,TKT100173,Loans,Medium,I need help because while using mobile banking I have a personal loan issue.,Apply online or at a branch. Eligibility depends on bank policy.
175,TKT100174,KYC,Medium,I have a update issue.,Submit valid KYC documents online or at your branch.
176,TKT100175,KYC,Medium,I need help because at an ATM I have a expired issue.,Update your KYC to avoid interruption of banking services.
177,TKT100176,Loans,Medium,yesterday I have a personal loan issue.,Apply online or at a branch. Eligibility depends on bank policy.
178,TKT100177,Loans,Medium,Please assist. while using mobile banking I have a loan statement issue.,Download it through internet banking or request it from your branch.
179,TKT100178,Loans,Medium,I need help because I have a EMI issue.,"EMI depends on the loan amount, tenure, and interest rate."
180,TKT100179,Debit Card,High,Can you help me? at an ATM I have a lost card issue.,Block your debit card immediately and request a replacement.
181,TKT100180,KYC,Medium,Can you help me? at an ATM I have a PAN update issue.,Submit your PAN update request with supporting documents.
182,TKT100181,KYC,Medium,I need help because today I have a expired issue.,Update your KYC to avoid interruption of banking services.
183,TKT100182,Loans,Medium,yesterday I have a personal loan issue.,Apply online or at a branch. Eligibility depends on bank policy.
184,TKT100183,Loans,Medium,Urgent: while using mobile banking I have a EMI issue.,"EMI depends on the loan amount, tenure, and interest rate."
185,TKT100184,KYC,Medium,Urgent: while using mobile banking I have a PAN update issue.,Submit your PAN update request with supporting documents.
186,TKT100185,KYC,Medium,Urgent: while using mobile banking I have a PAN update issue.,Submit your PAN update request with supporting documents.
187,TKT100186,Loans,Medium,while using mobile banking I have a EMI issue.,"EMI depends on the loan amount, tenure, and interest rate."
188,TKT100187,Loans,Medium,Can you help me? today I have a loan statement issue.,Download it through internet banking or request it from your branch.
189,TKT100188,Debit Card,High,I need help because I have a unauthorized transaction issue.,Block the card and report the disputed transaction for investigation.
190,TKT100189,Debit Card,High,Can you help me? at an ATM I have a lost card issue.,Block your debit card immediately and request a replacement.
191,TKT100190,Loans,Medium,Urgent: I have a EMI issue.,"EMI depends on the loan amount, tenure, and interest rate."
192,TKT100191,Loans,Medium,Can you help me? while using mobile banking I have a personal loan issue.,Apply online or at a branch. Eligibility depends on bank policy.
193,TKT100192,Debit Card,High,Can you help me? while using mobile banking I have a unauthorized transaction issue.,Block the card and report the disputed transaction for investigation.
194,TKT100193,UPI,High,Urgent: yesterday I have a pending transaction issue.,Wait until the current transaction is completed. Do not retry the payment immediately.
195,TKT100194,Loans,Medium,I need help because I have a personal loan issue.,Apply online or at a branch. Eligibility depends on bank policy.
196,TKT100195,Loans,Medium,Can you help me? at an ATM I have a EMI issue.,"EMI depends on the loan amount, tenure, and interest rate."
197,TKT100196,UPI,High,Urgent: while using mobile banking I have a payment failed issue.,Check the transaction status in your UPI app. Failed transactions are normally reversed automatically. Raise a dispute if the amount is not refunded within the expected timeline.
198,TKT100197,KYC,Medium,while using mobile banking I have a expired issue.,Update your KYC to avoid interruption of banking services.
199,TKT100198,Debit Card,High,Please assist. at an ATM I have a lost card issue.,Block your debit card immediately and request a replacement.
200,TKT100199,UPI,High,at an ATM I have a payment failed issue.,Check the transaction status in your UPI app. Failed transactions are normally reversed automatically. Raise a dispute if the amount is not refunded within the expected timeline.
201,TKT100200,UPI,High,I need help because yesterday I have a pending transaction issue.,Wait until the current transaction is completed. Do not retry the payment immediately.
202,TKT100201,Debit Card,High,Please assist. today I have a PIN forgotten issue.,Reset your ATM PIN using supported banking channels.
203,TKT100202,Debit Card,High,Urgent: at an ATM I have a lost card issue.,Block your debit card immediately and request a replacement.
204,TKT100203,Debit Card,High,at an ATM I have a PIN forgotten issue.,Reset your ATM PIN using supported banking channels.
205,TKT100204,KYC,Medium,Urgent: at an ATM I have a expired issue.,Update your KYC to avoid interruption of banking services.
206,TKT100205,Loans,Medium,Urgent: today I have a EMI issue.,"EMI depends on the loan amount, tenure, and interest rate."
207,TKT100206,UPI,High,Can you help me? while using mobile banking I have a payment failed issue.,Check the transaction status in your UPI app. Failed transactions are normally reversed automatically. Raise a dispute if the amount is not refunded within the expected timeline.
208,TKT100207,UPI,High,Can you help me? yesterday I have a payment failed issue.,Check the transaction status in your UPI app. Failed transactions are normally reversed automatically. Raise a dispute if the amount is not refunded within the expected timeline.
209,TKT100208,UPI,High,I need help because at an ATM I have a payment failed issue.,Check the transaction status in your UPI app. Failed transactions are normally reversed automatically. Raise a dispute if the amount is not refunded within the expected timeline.
210,TKT100209,KYC,Medium,Urgent: at an ATM I have a PAN update issue.,Submit your PAN update request with supporting documents.
211,TKT100210,Loans,Medium,Can you help me? while using mobile banking I have a personal loan issue.,Apply online or at a branch. Eligibility depends on bank policy.
212,TKT100211,Loans,Medium,today I have a EMI issue.,"EMI depends on the loan amount, tenure, and interest rate."
213,TKT100212,Debit Card,High,Urgent: yesterday I have a unauthorized transaction issue.,Block the card and report the disputed transaction for investigation.
214,TKT100213,KYC,Medium,Urgent: yesterday I have a update issue.,Submit valid KYC documents online or at your branch.
215,TKT100214,Debit Card,High,Can you help me? today I have a unauthorized transaction issue.,Block the card and report the disputed transaction for investigation.
216,TKT100215,UPI,High,Please assist. I have a payment failed issue.,Check the transaction status in your UPI app. Failed transactions are normally reversed automatically. Raise a dispute if the amount is not refunded within the expected timeline.
217,TKT100216,Loans,Medium,I need help because at an ATM I have a loan statement issue.,Download it through internet banking or request it from your branch.
218,TKT100217,Loans,Medium,while using mobile banking I have a EMI issue.,"EMI depends on the loan amount, tenure, and interest rate."
219,TKT100218,KYC,Medium,I need help because I have a expired issue.,Update your KYC to avoid interruption of banking services.
220,TKT100219,UPI,High,Please assist. I have a wrong UPI ID issue.,Contact your bank immediately. Recovery depends on the transaction status and beneficiary approval.
221,TKT100220,Loans,Medium,I need help because yesterday I have a personal loan issue.,Apply online or at a branch. Eligibility depends on bank policy.
222,TKT100221,UPI,High,Please assist. I have a pending transaction issue.,Wait until the current transaction is completed. Do not retry the payment immediately.
223,TKT100222,UPI,High,I have a payment failed issue.,Check the transaction status in your UPI app. Failed transactions are normally reversed automatically. Raise a dispute if the amount is not refunded within the expected timeline.
224,TKT100223,KYC,Medium,Can you help me? I have a expired issue.,Update your KYC to avoid interruption of banking services.
225,TKT100224,KYC,Medium,today I have a PAN update issue.,Submit your PAN update request with supporting documents.
226,TKT100225,KYC,Medium,while using mobile banking I have a expired issue.,Update your KYC to avoid interruption of banking services.
227,TKT100226,Loans,Medium,I need help because yesterday I have a EMI issue.,"EMI depends on the loan amount, tenure, and interest rate."
228,TKT100227,Loans,Medium,while using mobile banking I have a loan statement issue.,Download it through internet banking or request it from your branch.
229,TKT100228,KYC,Medium,I need help because at an ATM I have a PAN update issue.,Submit your PAN update request with supporting documents.
230,TKT100229,UPI,High,Please assist. while using mobile banking I have a wrong UPI ID issue.,Contact your bank immediately. Recovery depends on the transaction status and beneficiary approval.
231,TKT100230,UPI,High,Urgent: today I have a wrong UPI ID issue.,Contact your bank immediately. Recovery depends on the transaction status and beneficiary approval.
232,TKT100231,KYC,Medium,I need help because yesterday I have a expired issue.,Update your KYC to avoid interruption of banking services.
233,TKT100232,Loans,Medium,at an ATM I have a EMI issue.,"EMI depends on the loan amount, tenure, and interest rate."
234,TKT100233,UPI,High,Please assist. I have a payment failed issue.,Check the transaction status in your UPI app. Failed transactions are normally reversed automatically. Raise a dispute if the amount is not refunded within the expected timeline.
235,TKT100234,Debit Card,High,at an ATM I have a unauthorized transaction issue.,Block the card and report the disputed transaction for investigation.
236,TKT100235,UPI,High,Urgent: yesterday I have a payment failed issue.,Check the transaction status in your UPI app. Failed transactions are normally reversed automatically. Raise a dispute if the amount is not refunded within the expected timeline.
237,TKT100236,Debit Card,High,Urgent: today I have a unauthorized transaction issue.,Block the card and report the disputed transaction for investigation.
